current_status,status_count
Redelivered,3
"Collect for Pick Up",3
"Votre colis est livré.?Colis retourné à l'expéditeur?",3
"Restricted item cannot ship",3
"Shipment received at terminal",3
"CUSTOMS CLEARANCE/ON DESTINATION ROUTE",3
"Customs Clearance Complete",3
Alert,3
"Payment object",3
"This parcel is being redirected to the correct depot and will arrive in 24hrs",3
"Shipment out for delivery",3
"Held in Customs",3
"This parcel has been dispatched from the hub",3
"Parcel processed at origin facility",3
"In facility",3
"Held at  JFK Warehouse for Missing Information",3
"In Transit, Arriving On Time",3
"We've received this parcel at the hub and will be sorted to the customers delivery depot",3
"Service dispatched by Asendia",3
"Item on hold at customs, waiting for information from recipient",3
"INCORRECT / INCOMPLETE ADDRESS",3
"The address provided isn't correct so we can't deliver today, please provide the correct details",3
"Shipping information approved by Australia Post",3
"LOST CONSIGNMENT",3
"Delivery exception",2
"Divert to Parcel Shop OR Locker -  processed in UP",2
"Attempted Delivery - Item being held, addressee being notified",2
"Awaiting Pickup",2
"Due to operating conditions, your package may be delayed. / Delivery will be delayed by one business day.",2
"ORIGIN AIRLINE CARRIER DEPARTED/UPLIFT",2
"Return to Warehouse",2
"Arrived at UPS Facility",2
"No Such Number",2
"Parcel available for collection",2
"Item Collected - from SPS site using E739",2
"Parcel arrived at depot",2
"Processed through Facility",2
"Processed Through USPS Regional Facility",2
"This parcel is being returned to the sender",2
"Out For Delivery Today",2
"Parcel processing at depot",2
"Tendered for Delivery",2
NOT_PERFORMED,2
"Clearance in Progress",2
"Item has been returned and is enroute to the Sender",2
"Customs Clearance Processing Complete",2
"On hold with local carrier",2
"Customs Clearance Delay",2
"Departed USPS Regional Facility",2
"Votre colis est livré dans votre boite aux lettres.?Colis retourné à l'expéditeur?",2
"Shipment Assigned to Driver",2
"We have your package",2
"Arrived at USPS Regional Origin Facility",2
"Shipment Created",2
"Parcel In-Transit",2
"The package has been rescheduled for a future delivery date.",2
"The item was reprocessed due to damage. DHL's customer services will contact the sender shortly.",2
"Votre colis ne peut être livré ce jour. Il sera mis en livraison au plus tôt.",2
Acceptance,2
"Arrival at Post Office",2
"Parcel lost in transit",2
"The parcel is expected to be delivered during the day.",2
"This parcel has been collected from the ParcelShop",2
"Votre colis a subi un incident. Malheureusement, votre colis ne peut plus vous être acheminé. Nous vous invitons à contacter votre expéditeur ou son service clients. Si vous êtes l'expéditeur, vous po",2
"Votre colis n'a pas pu vous être remis.",2
"Cleared Customs",2
"Label Created",2
"The shipment could not be delivered, and the recipient has been notified.",2
"Arrived in Destination Country",2
"No Answer",2
"Item sent to sender",2
"OEC 3",2
"The shipment is being brought to [PACKSTATION 491 Spandauer Damm 64 14059 Berlin].The earliest time when it can be picked up can be found on the notification card.",1
"Verifying recipient's address; Possible delay",1
Unclaimed,1
"C2B Returned to Client",1
"In transit to DAIParcelsDC tracking #:  CTEE679213",1
"In transit to GLSEU tracking #:  984201764154",1
"In Transit to Next Facility",1
"In transit to GLSEU tracking #:  984202465258",1
"Shipment returning in transit to origin",1
"In transit to EVRi tracking #: H01SSA0021871951",1
"In transit to GLSEU tracking #:  984201429787",1
"Handed Over to Partner Carrier",1
"We've incorrectly sorted this package which may cause a delay.",1
"Delivery may be delayed due to extreme weather con",1
"We couldn't deliver today due to bad weather. Tracking will be updated when the parcel is on its way",1
"In transit to GLSEU tracking #:  984201440997",1
"In transit to GLSEU tracking #:  984201699784",1
"Package Damaged: Returned to Sender",1
"RePacked  - The item was reprocessed due to damage. DHL's customer services will contact the sender shortly.",1
"Votre colis est livré. Vous avez signalé un emballage modérément dégradé.",1
"Shipment Misrouted",1
"VALIDATION PROCESS PARCEL",1
"In transit to GLSEU tracking #:  984201378900",1
"In transit to GLSEU tracking #:  984201409321",1
"Item accepted",1
"In transit to GLS Canada tracking #: P28718933",1
"In transit to DAIParcelsDC tracking #:  BRHJ002191",1
"The shipment is being brought to [PACKSTATION 405 Stephanstr. 42 10559 Berlin].The earliest time when it can be picked up can be found on the notification card.",1
MISSENT,1
"Item being returned to sender. Incomplete address.",1
"In transit to GLSEU tracking #:  984201655469",1
"Inbound receipt at Sub Depot",1
"In transit to GLSEU tracking #:  984201441048",1
"In transit to GLSEU tracking #:  984201699678",1
"Departed USPS Facility",1
"Returned to Sender",1
"Query - Closed",1
"We are concluding our investigation and have sent an email to the receiver to confirm if the parcel was received or not. Once we hear back we will be able to close the investigation.",1
"In transit to Interpost tracking #: LT1003070404",1
"Arrived at PostNL – Item not allowed (X-ray) and rejected",1
"In transit to GLSEU tracking #:  984201429770",1
"Parcel picked up",1
"In transit to USPS tracking #:  CY364732766US",1
"Your parcel is running a little late, but should be there soon.",1
"In transit to APRISA tracking#:  BE000017716001",1
"We can't deliver today due to a road incident. We'll update tracking when your parcel is on its way",1
"In transit to GLSEU tracking #:  984201655483",1
"Return has been processed at the  depot and will be with the retailer shortly",1
"In transit to GLSEU tracking #:  984201700107",1
"Address Inaccessible",1
"Returned at warehouse (ABC45003410)",1
"La livraison de votre colis a été confirmée dans le cadre de l’instruction d’un dossier de réclamation.?",1
"IN RETURN PROCESS TO HE DEPOT",1
"In transit to GLSEU tracking #:  984201379044",1
"In transit to GLSEU tracking #:  984201408768",1
"In transit to Canada Post tracking #:  7100848343283111",1
"Ignored event",1
"In transit to GLSEU tracking #:  984201645187",1
"Object damaged",1
Arrived,1
"Package transferred to post office",1
"Your parcel is now with the next driver on its journey",1
"In transit to APRISA tracking#:  BE000017709001",1
"Received and ready for processing",1
"In transit to GLSEU tracking #:  984201656206",1
"Finalized-The claim/encounter has completed the adjudication cycle and no more action will be taken",1
"In transit to GLSEU tracking #:  984201684476",1
"Parcel order has been cancelled as requested.",1
"Held at Delivery Depot/Delivery Office",1
"Parcel has been scheduled for pickup on Friday, 19 Apr 2024.",1
"In transit to GLSEU tracking #:  984201440751",1
"Delivery attempted and card left - please arrange redelivery",1
"In transit to GLSEU tracking #:  984201387803",1
"In transit to DAIParcelsDC tracking #:  CTEE669122",1
"In transit to GLSEU tracking #:  984201449938",1
"Object posted",1
"In transit to EVRi tracking #: H01SSA0022788284",1
"Failed delivery attempt, returning to the warehouse. (Business Closed)",1
"In transit to APRISA tracking#:  BE000017714001",1
"Not Delivered - Business Closed",1
"In transit to GLSEU tracking #:  984201667141",1
"Votre colis a subi un incident. Malheureusement, il ne peut plus vous être acheminé. Nous vous invitons à contacter votre expéditeur ou son service clients. Si vous êtes l'expéditeur, vous pouvez cont",1
"Re-shipped from Braeside (Vic) Warehouse",1
"Available for Pickup",1
"Returned at warehouse (ABC45004507)",1
"In transit to GLSEU tracking #:  984201440812",1
"Entered the Hermes network",1
"In transit to EVRi tracking #: H01SSA0021607344",1
"In transit to DAIParcelsDC tracking #:  CTEE666557",1
"Une erreur s'est produite dans l'acheminement de votre colis. Nous mettons tout en œuvre pour qu'il reprenne son parcours.",1
"Shipment received at postal delivery unit",1
"Shipment Picked Up",1
"In transit to GLSEU tracking #:  984201450064",1
"Delayed in Dubai beyond our control",1
"Failed delivery attempt, returning to the warehouse. (Wrong Address)",1
"In transit to GLSEU tracking #:  984202464787",1
"In transit to GLSEU tracking #:  984201449495",1
"In transit to DAIParcelsDC tracking #:  MP8001517182",1
"In transit to GLSEU tracking #:  984201764963",1
"Parcel sent to returns facility",1
"Ready for Collection",1
"Inward MC - Automation Acceptance",1
"The item is pre-advised",1
"In transit to GLS Canada tracking #: P21167904",1
"In transit to GLSEU tracking #:  984201429534",1
"In transit to GLSEU tracking #:  984201440546",1
"In transit to GLSEU tracking #:  984201450217",1
"In transit to GLSEU tracking #:  984201450170",1
"We have received the details for this parcel and expect it to reach the  network shortly",1
"Pkg left with Agent for final delivery ",1
"In transit to APRISA tracking#:  BE000017937001",1
"Votre colis est disponible dans votre point de retrait pendant un délai de 15 jours calendaires. Ne tardez pas à aller le chercher ! Il vous sera remis sur présentation d'une pièce d'identité original",1
"In transit to GLSEU tracking #:  984201441079",1
"Your parcel is at the depot",1
"In transit to GLSEU tracking #:  984201765038",1
"Missed delivery - Will attempt delivery on next working day",1
"In transit to GLSEU tracking #:  984201397321",1
"In transit to GLSEU tracking #:  984201408836",1
"In transit to GLSEU tracking #:  984201440850",1
"Under Customs inspection",1
"In transit to DAIParcelsDC tracking #:  CTEE681902",1
"Your package is currently at the UPS Access Point™ and is scheduled to be tendered to UPS.",1
"Parcel return to sender",1
"In transit to APRISA tracking#:  BE000017888001",1
"In transit to GLSEU tracking #:  984201655445",1
"In transit via Post NL PACKTRACKED DIRECT tracking #:  LR183357135NL",1
"Local Collect arrived at Post Office",1
"Customer pickup",1
"Collect for Pickup",1
"In transit to GLSEU tracking #:  984201397550",1
"In transit to DAIParcelsDC tracking #:  CTEE664148",1
"In transit to Canada Post tracking #:  7100848343282930",1
Outbound,1
"Item released by customs",1
"In transit to APRISA tracking#:  BE000017828001",1
"This parcel has been delivered to the ParcelShop and is awaiting collection",1
"In transit to GLSEU tracking #:  984201667004",1
"Parcel redelivery has been requested",1
"In transit to GLSEU tracking #:  984201699869",1
"USPS in possession of item",1
"The item being returned to the sender went out for delivery.",1
"Action not taken by the client",1
"In transit to APRISA tracking#:  BE000017659001",1
"In transit to GLSEU tracking #:  984200534093",1
"L'adresse indiquée sur votre colis est incomplète ou incorrecte. Nous procédons à sa correction afin de permettre le bon acheminement de votre colis.",1
"In transit to GLSEU tracking #:  984201429596",1
"Parcel has been scheduled for pickup on Thursday, 13 Jun 2024.",1
"In transit to APRISA tracking#:  BE000017914001",1
"Picked up at the terminal",1
"Received by the local post office",1
"In transit to APRISA tracking#:  BE000017818001",1
"In transit to GLSEU tracking #:  984201656121",1
"Parcel delayed 24hrs at the depot",1
"The shipment is handed over in bulk, final acceptance of goods to be confirmed",1
"Arrived at Hub",1
"Customer information received",1
"Votre colis n'a pas pu vous être livré en raison d'un problème d'adresse. Il va être retourné à l'expéditeur.",1
"NEW TRACKING NUMBER ASSIGNED",1
"In transit to GLSEU tracking #:  984201801873",1
"In transit to GLSEU tracking #:  984200534116",1
"In bonded area",1
"In transit to GLSEU tracking #:  984201397376",1
"In transit to TFORCE tracking #:  EPG0001446401",1
"Parcel volume, length and weight checked on 15 Jun 2024",1
"The item is at the PostNL sorting center",1
"In transit to GLSEU tracking #:  984201721966",1
"The shipment is being brought to [PACKSTATION 234 Wollankstr. 16 13187 Berlin].The earliest time when it can be picked up can be found on the notification card.",1
"In transit to APRISA tracking#:  BE000017822001",1
"We were unable to dispatch the trailer on time. This may cause a delay. / Delivery will be delayed by one business day.",1
"In transit to APRISA tracking#:  BE000017824001",1
"In transit to GLSEU tracking #:  984201700008",1
"In transit via Post NL PACKTRACKED DIRECT tracking #:  LR184475496NL",1
"In Transit from Origin Processing",1
"Return to origin authorized by regulatory agency",1
"The item is on transport to the country of destination",1
"In transit to GLSEU tracking #:  984200534109",1
"In transit to GLSEU tracking #:  984201397253",1
"In transit to Canada Post tracking #:  7100848343282893",1
"In transit to GLSEU tracking #:  984201450132",1
"In transit to APRISA tracking#:  BE000017896001",1
"Advise-Preferred Location/Neighbor",1
"In transit to GLSEU tracking #:  984201656381",1
"Shipment exception",1
"Vous avez refusé votre colis car il était détérioré. Il va être retourné à l'expéditeur.",1
