current_status,status_count
"Arrived at delivery centre",5
"The shipment has been loaded onto the delivery vehicle",5
Drop-Off,5
"Loaded on Truck",5
"The receiving business was closed and delivery has been rescheduled for the next business day.",5
"RETURNED TO HE",5
"Taxes and duties paid to postman/postoffice",5
"Parcel Processed at Carrier Terminal",5
"Package picked-up by agent at post office",5
"Returned (incorrect address)",5
"Undeliverable - Return to Sender",5
"Received in Distribution Center/HUB",5
"Check-in Asendia facility",5
"Forwarded to",5
"Parcel in transit with the final mile carrier",5
"Bad delivery address",5
"Arrived at USPS Facility",5
"We're unable to deliver this parcel today. We will now deliver the next working day",4
"Item on hold at customs, waiting for information from recipient",4
"Not delivered",4
Undeliverable,4
"Delivery Not Completed",4
"Parcel in transit",4
"Available at pick-up point",4
"This parcel is on its way to the courier",4
"Votre colis est sur son site de distribution. Nous le préparons pour le mettre en livraison.",4
"Return to Sender",4
"Shipment Departed Origin Country",4
"Shipment information sent to FedEx",4
"Tendered for Delivery",4
"Item Collected - from SPS site",4
"Process incident or held by carrier",4
"Batch Processed at Origin Hub",4
"Package processed",4
"Arrived at Terminal Location",4
"Returned at Warehous",4
"Shipment returned to Laredo,TX hub",4
"Signature Obtained",4
"Votre colis est livré à son expéditeur à la suite d'un retour.",4
"Customs Clearance Complete",4
"Transshipment completed",4
"Shipment Information Entered or Received",4
"Left securely in outbuilding",4
"Unable to Deliver due to PO Box",4
"This parcel is being redirected to the correct depot and will arrive in 24hrs",3
"Shipment out for delivery",3
"Held at  JFK Warehouse for Missing Information",3
"In Transit, Arriving On Time",3
"The item was reprocessed due to damage. DHL's customer services will contact the sender shortly.",3
"In facility",3
"This parcel has been dispatched from the hub",3
"Service dispatched by Asendia",3
"We've received this parcel at the hub and will be sorted to the customers delivery depot",3
"INCORRECT / INCOMPLETE ADDRESS",3
"The address provided isn't correct so we can't deliver today, please provide the correct details",3
"The shipment could not be delivered, and the recipient has been notified.",3
"LOST CONSIGNMENT",3
"Item redirected to recipient's new address",3
"Shipping information approved by Australia Post",3
"Exception hold-Return to shipper",3
"Not received by last mile",3
"Votre colis n'a pas pu vous être remis. Il sera mis en livraison demain (hors dimanche et jours fériés).",3
"The recipient has selected a Packstation as the new delivery address.",3
"Voided Information Received ",3
"Parcel departed origin country",3
"Customs cleared",3
"Delivery Attempt",3
"Delivery delayed to next business day",3
"Shipment will be returned to origin-Consignee could not be reached",3
Pre-advice,3
"Parcel arrived at depot",3
"Collect for Pick Up",3
"Votre colis est livré.?Colis retourné à l'expéditeur?",3
"Restricted item cannot ship",3
Redelivered,3
Alert,3
"Held in Customs",3
"Shipment received at terminal",3
"Votre colis est disponible dans votre point de retrait pendant un délai de 15 jours calendaires. Ne tardez pas à aller le chercher ! Il vous sera remis sur présentation d'une pièce d'identité original",3
"Payment object",3
"CUSTOMS CLEARANCE/ON DESTINATION ROUTE",3
"Parcel processed at origin facility",3
"The parcel is expected to be delivered during the day.",2
"Arrival at Post Office",2
"Cleared Customs",2
"Votre colis ne peut être livré ce jour. Il sera mis en livraison au plus tôt.",2
"Parcel lost in transit",2
"This parcel has been collected from the ParcelShop",2
"Arrived in Destination Country",2
"Votre colis a subi un incident. Malheureusement, votre colis ne peut plus vous être acheminé. Nous vous invitons à contacter votre expéditeur ou son service clients. Si vous êtes l'expéditeur, vous po",2
"Votre colis n'a pas pu vous être remis.",2
"No Answer",2
"Attempted Delivery - Item being held, addressee being notified",2
"Label Created",2
"Delivery exception",2
"OEC 3",2
"The item is on its way to the recipient.",2
"Item sent to sender",2
"ORIGIN AIRLINE CARRIER DEPARTED/UPLIFT",2
"Due to operating conditions, your package may be delayed. / Delivery will be delayed by one business day.",2
Acceptance,2
"Parcel available for collection",2
"Return to Warehouse",2
"Awaiting Pickup",2
"Arrived at UPS Facility",2
"Divert to Parcel Shop OR Locker -  processed in UP",2
"No Such Number",2
"Processed Through USPS Regional Facility",2
"Processed through Facility",2
"Clearance in Progress",2
"Out For Delivery Today",2
"Mis routed",2
"Item Collected - from SPS site using E739",2
"Customs Clearance Processing Complete",2
"This parcel is being returned to the sender",2
NOT_PERFORMED,2
"Customs Clearance Delay",2
"Parcel processing at depot",2
"Departed USPS Regional Facility",2
"On hold with local carrier",2
"Shipment Created",2
"Parcel In-Transit",2
"We have your package",2
"Item has been returned and is enroute to the Sender",2
"Arrived at USPS Regional Origin Facility",2
"Votre colis est livré dans votre boite aux lettres.?Colis retourné à l'expéditeur?",2
"Shipment Assigned to Driver",2
"The package has been rescheduled for a future delivery date.",2
"Action not taken by the client",1
"The item is on transport to the country of destination",1
"In transit to GLSEU tracking #:  984200534109",1
"L'adresse indiquée sur votre colis est incomplète ou incorrecte. Nous procédons à sa correction afin de permettre le bon acheminement de votre colis.",1
"In transit to GLSEU tracking #:  984201397253",1
"In transit to Canada Post tracking #:  7100848343282893",1
"Parcel has been scheduled for pickup on Thursday, 13 Jun 2024.",1
"In transit to GLSEU tracking #:  984201450132",1
"In transit to GLSEU tracking #:  984201721966",1
"Picked up at the terminal",1
"We were unable to dispatch the trailer on time. This may cause a delay. / Delivery will be delayed by one business day.",1
"In transit to APRISA tracking#:  BE000017828001",1
"This parcel has been delivered to the ParcelShop and is awaiting collection",1
"In transit to GLSEU tracking #:  984201667004",1
"Track on www.indiapost.gov.in with Reference No.",1
"In transit to GLSEU tracking #:  984201699869",1
"In Transit from Origin Processing",1
"The item being returned to the sender went out for delivery.",1
"Recipient Collected",1
"Votre colis n'a pas pu vous être livré en raison d'un problème d'adresse. Il va être retourné à l'expéditeur.",1
"NEW TRACKING NUMBER ASSIGNED",1
"In transit to GLSEU tracking #:  984200534123",1
"In bonded area",1
"In transit to CITILOGISTICS tracking #:  2001900000108742",1
"In transit to GLSEU tracking #:  984201644937",1
"Parcel volume, length and weight checked on 15 Jun 2024",1
"In transit to GLSEU tracking #:  984201450101",1
"In transit to APRISA tracking#:  BE000017896001",1
"PROCESSED THROUGH OFFICE OF EXCHANGE",1
"Shipment exception",1
"In transit to APRISA tracking#:  BE000017818001",1
"In transit to GLSEU tracking #:  984201656121",1
"In Transit to Next Facility, Arriving On Time",1
"Votre colis a subi un incident. Malheureusement, il ne peut plus vous être acheminé. Nous vous invitons à contacter votre expéditeur ou son service clients. Si vous êtes l'expéditeur, vous pouvez cont",1
"The shipment is handed over in bulk, final acceptance of goods to be confirmed",1
"Item lost",1
"Return to origin authorized by regulatory agency",1
"In transit to final destination",1
"In transit to GLSEU tracking #:  984201397574",1
"In transit to GLSEU tracking #:  984201429824",1
"In transit to GLS Canada tracking #: P28468134",1
"In transit to APRISA tracking#:  BE000017897001",1
"The shipment is being brought to [PACKSTATION 234 Wollankstr. 16 13187 Berlin].The earliest time when it can be picked up can be found on the notification card.",1
"In transit to APRISA tracking#:  BE000017822001",1
"Local Delay",1
"In transit to APRISA tracking#:  BE000017824001",1
"In transit to GLSEU tracking #:  984201700008",1
"Inbound Parent Child at Depot",1
"In transit via Post NL PACKTRACKED DIRECT tracking #:  LR184475496NL",1
"Item misrouted or redirected",1
"Incorrect Address - Addressee's address being verified",1
"Item on hold at a secure facility; contact Customer Service",1
"Parcel received by final mile carrier",1
"Awaiting collection at CORRIGIN LPO",1
"Arrival at Unit",1
"In transit to GLSEU tracking #:  984201378849",1
"In transit to GLSEU tracking #:  984201429756",1
"In transit to GLSEU tracking #:  984201449983",1
"Advise-Preferred Location/Neighbor",1
"In transit to GLSEU tracking #:  984201656381",1
"At local FedEx facility",1
"Vous avez refusé votre colis car il était détérioré. Il va être retourné à l'expéditeur.",1
"In transit to APRISA tracking#:  BE000017757001",1
"Shipment Arrived within Destination Country",1
"Votre Colissimo a été remis en lot au destinataire. Nous attendons la confirmation de sa réception.",1
"The item has been processed in the country of destination",1
"Shipment not found",1
"Selected for Auto Redelivery",1
"In transit to DAIParcelsDC tracking #:  CTEE664680",1
"In transit to GLSEU tracking #:  984201378825",1
"The shipment is being brought to [Brückenstr. 6  54439 Saarburg].The earliest time when it can be picked up can be found on the notification card.",1
"In transit to GLSEU tracking #:  984201429701",1
"Label Reprint",1
"In transit to GLSEU tracking #:  984201450057",1
"Failed delivery attempt, returning to the warehouse. (Contact Failed)",1
"In transit to GLSEU tracking #:  984201681987",1
"In transit to GLSEU tracking #:  984201656367",1
"In transit to APRISA tracking#:  BE000017760001",1
"In transit to GLSEU tracking #:  984201684469",1
"The item has arrived in the country of destination",1
"In transit to EVRi tracking #: H01SSA0021871951",1
"The shipment is being brought to [PACKSTATION 114 Budenheimer Str.  55124 Mainz].The earliest time when it can be picked up can be found on the notification card.",1
"In transit to GLSEU tracking #:  984201429787",1
"Handed Over to Partner Carrier",1
"Verifying recipient's address; Possible delay",1
"Signature available",1
"ARRIVED AT INTERNATIONAL SERVICE CENTER",1
"In transit to GLSEU tracking #:  984201397642",1
"In transit to GLSEU tracking #:  984201668179",1
"In Transit to Next Facility",1
"Parcel redelivery has been requested",1
"The parcel could not be delivered as the consignee was absent.",1
"Delivery preference - Deliver to post office",1
"Shipment Misrouted",1
"In transit to GLSEU tracking #:  984201378900",1
"In transit to GLSEU tracking #:  984201409321",1
"In transit to GLS Canada tracking #: P28718933",1
"In transit to DAIParcelsDC tracking #:  BRHJ002191",1
"Shipment released by Customs",1
"We've incorrectly sorted this package which may cause a delay.",1
"In transit to Interpost tracking #:  LT1002995970",1
"In transit to APRISA tracking#:  BE000017883001",1
"In transit to GLSEU tracking #:  984201764918",1
"Package Damaged: Returned to Sender",1
"Parcel delayed 24hrs at the depot",1
"The item is on transport to the local sorting centre",1
"RePacked  - The item was reprocessed due to damage. DHL's customer services will contact the sender shortly.",1
"Shipment returning in transit to origin",1
"In transit to Interpost tracking #: LT1003070404",1
"Arrived at PostNL – Item not allowed (X-ray) and rejected",1
"In transit to GLSEU tracking #:  984201429770",1
"In transit to USPS tracking #:  CY364732766US",1
"The shipment is being brought to [PACKSTATION 491 Spandauer Damm 64 14059 Berlin].The earliest time when it can be picked up can be found on the notification card.",1
MISSENT,1
Unclaimed,1
"C2B Returned to Client",1
"In transit to DAIParcelsDC tracking #:  CTEE679213",1
"Parcel transferred to a third party to complete delivery",1
"In transit to GLSEU tracking #:  984201764154",1
"Departed USPS Facility",1
"In transit to GLSEU tracking #:  984202465258",1
"Query - Closed",1
"Votre colis est livré. Vous avez signalé un emballage modérément dégradé.",1
"VALIDATION PROCESS PARCEL",1
"In transit to GLSEU tracking #:  984201379044",1
"In transit to GLSEU tracking #:  984201408768",1
"Item accepted",1
"In transit to Canada Post tracking #:  7100848343283111",1
"In transit to GLSEU tracking #:  984201645187",1
"Delivery may be delayed due to extreme weather con",1
"We couldn't deliver today due to bad weather. Tracking will be updated when the parcel is on its way",1
"In transit to GLSEU tracking #:  984201440997",1
"In transit to GLSEU tracking #:  984201699784",1
"Returned at warehouse (ABC45003410)",1
"We are concluding our investigation and have sent an email to the receiver to confirm if the parcel was received or not. Once we hear back we will be able to close the investigation.",1
"In transit to GLSEU tracking #:  984201440751",1
"In transit to GLSEU tracking #:  984201387803",1
"In transit to DAIParcelsDC tracking #:  CTEE669122",1
"Parcel picked up",1
"In transit to GLSEU tracking #:  984201449938",1
"The shipment is being brought to [PACKSTATION 405 Stephanstr. 42 10559 Berlin].The earliest time when it can be picked up can be found on the notification card.",1
Arrived,1
"Package transferred to post office",1
"Item being returned to sender. Incomplete address.",1
"In transit to GLSEU tracking #:  984201655469",1
"Inbound receipt at Sub Depot",1
"In transit to GLSEU tracking #:  984201441048",1
"In transit to GLSEU tracking #:  984201699678",1
"Returned to Sender",1
"Held at Delivery Depot/Delivery Office",1
"La livraison de votre colis a été confirmée dans le cadre de l’instruction d’un dossier de réclamation.?",1
"In transit to GLSEU tracking #:  984201440812",1
"IN RETURN PROCESS TO HE DEPOT",1
"Entered the Hermes network",1
"In transit to EVRi tracking #: H01SSA0021607344",1
"In transit to DAIParcelsDC tracking #:  CTEE666557",1
"Shipment received at postal delivery unit",1
"Ignored event",1
"In transit to GLSEU tracking #:  984201450064",1
"Delayed in Dubai beyond our control",1
"In transit to EVRi tracking #: H01SSA0022788284",1
"Your parcel is running a little late, but should be there soon.",1
"In transit to APRISA tracking#:  BE000017716001",1
"We can't deliver today due to a road incident. We'll update tracking when your parcel is on its way",1
"In transit to GLSEU tracking #:  984201655483",1
"In transit to GLSEU tracking #:  984201700107",1
"Available for Pickup",1
"Address Inaccessible",1
"Returned at warehouse (ABC45004507)",1
"Parcel has been scheduled for pickup on Friday, 19 Apr 2024.",1
"Ready for Collection",1
"The item is pre-advised",1
"Delivery attempted and card left - please arrange redelivery",1
"In transit to GLS Canada tracking #: P21167904",1
"In transit to GLSEU tracking #:  984201429534",1
"In transit to GLSEU tracking #:  984201440546",1
"In transit to GLSEU tracking #:  984201450217",1
"Object damaged",1
"In transit to GLSEU tracking #:  984202464787",1
"Your parcel is now with the next driver on its journey",1
